Month,Year,monthyr,Custom Variable (Value 06),Sessions,Users,Pageviews,Story Visits (Goal 6 Conversion Rate),Streaming Visits (Goal 1 Conversion Rate),Streaming Event (Goal 11 Conversion Rate)
Nov,2015,Nov2015,KQED,2853913,2021027,4374506,0.72883371,0.099973615,0.100013911
Nov,2015,Nov2015,WBUR,2553069,1799657,3861783,0.791326831,0.081344061,0.000585178
Nov,2015,Nov2015,minnesota public radio,2166410,1297343,3303310,0.687279416,0.066688669,0
Nov,2015,Nov2015,WUSF Public Media,1370224,1318299,1855314,0.992831829,5.18E-05,0.000566331
Nov,2015,Nov2015,WAMU 88.5,800516,385615,1595691,0.094823839,0.232718646,1.25E-06
Nov,2015,Nov2015,WHYY,752080,500521,1103423,0.500480002,0.10931018,0.006396926
Nov,2015,Nov2015,Oregon Public Broadcasting,701773,450681,1275968,0.597022114,0.005018717,1.14E-05
Nov,2015,Nov2015,KUOW,503265,373335,693312,0.742831312,0.066062611,0.114589729
Nov,2015,Nov2015,KPBS,468543,337418,761660,0.662395981,0.129569751,2.13E-06
Nov,2015,Nov2015,Michigan Radio,460316,300307,749963,0.722093084,0.006882229,0.175227452
Nov,2015,Nov2015,Chicago Public Media,453792,327842,1776403,0.511575788,0.000235791,0
Nov,2015,Nov2015,Public Media for North Texas,394731,276843,650513,0.543212973,0.163136414,0.014630217
Nov,2015,Nov2015,KEXP,387620,187647,723388,0.169779681,0.005154533,3.35E-05
Nov,2015,Nov2015,Colorado Public Radio,336785,178480,537522,0.356488561,0.079760084,0
Nov,2015,Nov2015,WXPN,298079,214100,920993,0.270371277,0.125124548,7.38E-05
Nov,2015,Nov2015,KPLU,240036,149493,344841,0.496425536,0.08499975,0.09157793
Nov,2015,Nov2015,St. Louis Public Radio,235213,167044,346719,0.781997594,0.119785046,0.052667157
Nov,2015,Nov2015,Vermont Public Radio,232832,116426,472501,0.460757112,0.282834834,0.038572877
Nov,2015,Nov2015,Indiana Public Media / WFIU,230198,194965,324837,0.090304868,0.000104258,0.00152043
Nov,2015,Nov2015,Houston Public Media,228953,165424,387989,0.258376173,0.083196114,0.003974615
Nov,2015,Nov2015,Louisville Public Media,227755,156271,329637,0.04827995,0.017308072,0
Nov,2015,Nov2015,WABE,222925,172012,320509,0.828094651,0.000130089,0.001561063
Nov,2015,Nov2015,KCUR,209815,158653,344523,0.791568763,0.067464195,0.068188642
Nov,2015,Nov2015,Capital Public Radio,201626,125701,359899,0.433401446,0.221593445,9.42E-05
Nov,2015,Nov2015,WGBH,199373,156022,336564,0.644410226,0.003184985,0.015478525
Nov,2015,Nov2015,NHPR,180588,122412,298614,0.698064102,0.147717456,0.122560746
Nov,2015,Nov2015,KUT,170973,122842,238147,0.643774163,0.004088365,0.023155703
Nov,2015,Nov2015,North Carolina Public Radio - WUNC,145445,90939,247997,0.541813056,0.004750937,0.23809
Nov,2015,Nov2015,KBIA,138577,118746,178834,0.912460221,0.040223125,0.031585328
Nov,2015,Nov2015,WUFT-FM,137669,113273,184196,0.841641909,0.040561056,0
Nov,2015,Nov2015,WNPR,129102,87203,242573,0.680330281,0.001099906,0.140245697
Nov,2015,Nov2015,WBGO,128165,57692,311352,0.067811025,0.590184528,0
Nov,2015,Nov2015,WAMC Northeast Public Radio,127931,72779,260981,0.48363571,0.094894904,0.225183888
Nov,2015,Nov2015,NET Radio,124908,94659,229483,0.138045602,0.002209626,0.000112082
Nov,2015,Nov2015,KUSC,121007,47112,194917,0.019503004,0.207814424,0
Nov,2015,Nov2015,WLRN,112143,82427,178234,0.630204293,0.000766878,0.019840739
Nov,2015,Nov2015,Capital Community Broadcasting,110737,63105,180391,0.812357207,0.000243821,0
Nov,2015,Nov2015,Maine Public Broadcasting Network (MPBN),103977,57761,193193,0.379497389,4.81E-05,0.012079595
