monthyr,name,session,users,pageviews,streaming event
Aug2014,WBUR,2389548,1629569,3815704,0
Aug2014,KQED,2363436,1648973,3765710,8.46E-07
Aug2014,minnesota public radio,2250512,1203541,3861284,0
Aug2014,Southern California Public Radio,1456917,1112451,2018376,0
Aug2014,WHYY,786786,522665,1102234,0
Aug2014,St. Louis Public Radio,604679,478616,995799,0.03056167
Aug2014,KPBS,590855,446088,934554,3.38E-06
Aug2014,Public Media for North Texas,497806,335263,893060,0.002227775
Aug2014,WAMU 88.5,484980,227659,882182,0
Aug2014,Oregon Public Broadcasting,462357,296866,914312,0
Aug2014,KEXP,415903,227411,812442,3.61E-05
Aug2014,Chicago Public Media,384738,237051,1642896,7.80E-06
Aug2014,KUOW,291775,204765,523873,0.116733785
Aug2014,WXPN,279119,207459,764886,0.000146891
Aug2014,Colorado Public Radio,260699,130991,478141,0.000134254
Aug2014,KUT,253917,187304,429119,0.127502294
Aug2014,WFUV,243126,101419,501918,0
Aug2014,Indiana Public Media / WFIU,242175,212820,324425,2.89E-05
Aug2014,Michigan Radio,237565,155445,412854,0.184534759
Aug2014,Capital Public Radio,214662,133007,413250,0
Aug2014,Louisville Public Media,206851,130900,350353,0.106240724
Aug2014,Vermont Public Radio,205830,107247,419409,0.059417966
Aug2014,NHPR,193050,138954,357727,0.089375809
Aug2014,ideastream,180868,110979,274675,0
Aug2014,WGBH,178621,143381,289725,0.033864999
Aug2014,Georgia Public Broadcasting,178007,133785,389520,0.00042695
Aug2014,KPLU,156593,108397,276439,0.094589158
Aug2014,North Carolina Public Radio - WUNC,154052,102266,267572,0.208455586
Aug2014,Houston Public Media,153151,89700,265178,0.211921568
Aug2014,KCUR,151848,105322,279191,0.097281492
Aug2014,WAMC Northeast Public Radio,140100,94238,260708,0.17420414
Aug2014,WLRN,137514,102214,250821,0.130852131
Aug2014,Nashville Public Radio,130027,93196,198366,0
Aug2014,WABE,127725,82721,246171,0.153094539
Aug2014,KUSC,116565,45459,187804,0
Aug2014,Maine Public Broadcasting Network (MPBN),112727,65410,226924,0.009713733
Aug2014,WBGO,109378,44601,280031,9.14E-06
Aug2014,WKSU,102564,64592,179011,0
Aug2014,WFAE,101668,70987,176783,0.159912657
Aug2014,Boise State Public Radio,96516,77048,169307,0.06759501
Aug2014,KWSU,94480,72814,160512,0.124724809
Aug2014,West Virginia Public Broadcasting,94020,71718,153182,0.018038715
Aug2014,Jefferson Public Radio,88183,55903,168265,0.120816938
Aug2014,KUNC,87957,60683,165713,0.164262083
Aug2014,KSTX,85189,56075,143671,0.177288148
Aug2014,WNPR,84252,60021,166489,0.132827707
Aug2014,KWGS,83323,52722,116840,0.085390588
Aug2014,NET Radio,81016,62869,139123,0.001024489
Aug2014,KUAZ-AM/FM,79363,50883,179202,0.083867797
Aug2014,WESA,78324,56217,128942,0.128913232
Aug2014,Capital Community Broadcasting,75559,43639,137923,0
Aug2014,Iowa Public Radio,74084,41603,133845,0.230360132
Aug2014,Wyoming Public Media,73276,51444,124933,0.122359299
Aug2014,Rhode Island Public Radio,72314,44515,133698,0.060859585
Aug2014,KALW,71202,51940,131364,0.119027555
Aug2014,witf,71168,49425,137095,0
Aug2014,WUFT-FM,68219,46110,123908,0
Aug2014,KUER,65603,34476,121990,0.18860418
Aug2014,WRTI,63623,28548,154036,0.448627069
Aug2014,WUWM 89.7 FM - Milwaukee Public Radio,63375,41453,127820,0.15217357
Aug2014,89.9 WWNO,59813,36432,118267,0.215538428
Aug2014,Cincinnati Public Radio,59765,41307,98447,0.107554589
Aug2014,WYPR -Your Public Radio,59528,36232,108167,0.175362854
Aug2014,WFYI,58616,33012,131642,0.000460625
Aug2014,WRVO Public Media,55416,33624,93496,0.201169337
Aug2014,WUSF Public Media,55215,40736,102882,0.00532464
Aug2014,WNCW,52378,28403,98595,0.207243499
Aug2014,Illinois Public Media,50881,22160,94488,0
Aug2014,Nevada Public Radio,48298,30117,94790,0.010911425
Aug2014,MTPR,46822,28897,84077,0.215582419
Aug2014,WVTF & RADIO IQ,45895,29674,83037,0.155332825
Aug2014,KRWG,45806,35666,65544,0.028227743
Aug2014,WPSU,44789,35067,108845,0.04487709
Aug2014,WXXI Public Broadcasting,43608,32894,77444,0.073839662
Aug2014,KGOU,43285,33592,72653,0.092826614
Aug2014,WKAR,43233,29383,73190,0.053315754
Aug2014,WJCT,43134,36250,73814,0.049473733
Aug2014,New England Public Radio,42874,28142,69864,0
Aug2014,WHRV FM,41978,21622,55795,0
Aug2014,KBIA,40879,33670,62093,0.0591991
Aug2014,WNKU,40664,24768,66821,0.297142436
Aug2014,KUNM,40003,27693,73478,0.162737795
Aug2014,WGCU,39533,26416,69548,0.102471353
Aug2014,KMUW,39337,26637,69808,0.093652287
Aug2014,KCBX,38662,29009,59372,0.114453469
Aug2014,WMRA,38221,27210,50311,0.112555925
Aug2014,KLCC,37066,24882,63532,0.197620461
Aug2014,KNAU,36917,27795,53033,0.152531354
Aug2014,WUKY,36028,27123,53100,0.102586877
Aug2014,Interlochen Public Radio,35740,24339,72185,0.123726917
Aug2014,WQED Multimedia,35707,22490,102977,0
Aug2014,northern public radio,35562,24271,60508,0.220150723
Aug2014,WUIS,35047,26402,55693,0.067024282
Aug2014,WEMU 89.1,34555,26705,53667,0.109535523
Aug2014,WCBE,34443,26814,58470,0.108207764
Aug2014,KUVO,34303,21405,62206,0.295950791
Aug2014,WCLK,33761,21049,57276,0.343265899
Aug2014,WDAV Classical Public Radio,33071,16428,59430,0
Aug2014,Ozarks Public Radio,32234,24744,55119,0.087857542
Aug2014,KUAR,32210,24223,52981,0.106302391
Aug2014,WKMS,32171,24608,65465,0.049423394
Aug2014,WDIY,31484,24486,41068,0.043387117
Aug2014,KRCC,31361,21064,48778,0.135837505
Aug2014,WFSU,31230,24869,56434,0.057028498
Aug2014,WMFE,30769,15663,77191,0
Aug2014,South Dakota Public Broadcasting,30236,21489,87526,0.037273449
Aug2014,WBAA,30191,23998,45524,0.075618562
Aug2014,KVPR,30109,22958,44908,0.102494271
Aug2014,WCQS,30079,19428,49352,0.275175372
Aug2014,WYSO,30067,21230,56859,0.19952107
Aug2014,Hawaii Public Radio,29822,24069,43094,0.028200657
Aug2014,WUOT,28913,19104,46238,0.20115519
Aug2014,KANW,28427,20280,40863,0.221549935
Aug2014,WMHT,28282,22194,48415,0
Aug2014,WSHU,27697,16136,53093,0.343611221
Aug2014,Alabama Public Radio,27459,22161,42538,0.096106923
Aug2014,KVNF,27100,22029,41390,0.078929889
Aug2014,WEKU,26249,19715,36943,0.117071127
Aug2014,WBFO,25960,21894,46583,0.019414484
Aug2014,88.9 KETR,25908,19980,47332,0.016905975
Aug2014,NPR Berlin,25491,20870,34726,0.0653564
Aug2014,KIOS,25375,17082,39005,0.26644335
Aug2014,White Pine Community Broadcasting,24921,19851,38397,0.044982144
Aug2014,WUWF,24870,18771,39728,0.120587053
Aug2014,KPCW 91.9FM,24762,17866,45672,0.133632178
Aug2014,WCBU peoria public radio,24695,20291,35894,0.022595667
Aug2014,WFDD,24671,15840,47372,0.288071015
Aug2014,South Carolina ETV Radio,24560,20018,26952,0.013843648
Aug2014,Red River Radio KDAQ,24011,18430,35678,0.095664487
Aug2014,WVAS,23833,20439,31321,0.03335711
Aug2014,WBHM 90.3 Birmingham,23248,22215,25791,0
Aug2014,WKNO,23189,16846,31979,0.174091164
Aug2014,KRVS,22771,16265,38253,0.192789074
Aug2014,WTEB,22738,18324,31792,0.085891459
Aug2014,WUTC,22725,17397,32829,0.12950495
Aug2014,Delmarva Public Radio,21759,18184,31874,0.053265316
Aug2014,WMKY,21385,17665,26249,0.01819032
Aug2014,WAER Syracuse Public Media,21337,17405,31772,0.062051835
Aug2014,PECONIC PUBLIC BROADCASTING,21203,17102,29494,0.078054992
Aug2014,KSUT Four Corners,21142,15437,30027,0.17231104
Aug2014,KTEP,21059,18718,28805,0.053611283
Aug2014,WQCS FM,20059,15458,28292,0.13475248
Aug2014,KOSU,18902,12373,31299,0.303142525
Aug2014,KTTZ,18753,15461,26628,0.01621074
Aug2014,WGLT,18428,10126,35939,0
Aug2014,KASU,18301,15275,24579,0.043385607
Aug2014,WRKF,17910,11173,36705,0.268341709
Aug2014,WKU Public Radio,17568,13786,31794,0.102345173
Aug2014,KDLG,17423,11209,33043,0.026229696
Aug2014,WNMU,17281,14071,27523,0.023204676
Aug2014,WYSU,17249,13414,21670,0
Aug2014,KAWC,17151,14634,22242,0.035683051
Aug2014,WMOT,17106,14453,23100,0.036887642
Aug2014,WESM,16683,14231,21831,0.030330276
Aug2014,WSKG Public Media,16495,10006,33516,0
Aug2014,WMUK,15725,12645,28228,0.094880763
Aug2014,KAZU,15257,8923,28047,0.148653077
Aug2014,KUAF 91.3 FM Fayetteville,15004,10013,26550,0.193481738
Aug2014,WHQR,14997,10051,30282,0.188571048
Aug2014,KACU,14779,12354,17932,0.054875161
Aug2014,KWBU,14739,12715,24142,0.015265622
Aug2014,KNBA/KBC,14539,11528,18800,0.084943944
Aug2014,WGTE Public Media,14518,9431,34016,0
Aug2014,KSJD,14202,11685,17388,0.027390508
Aug2014,WPRL,14116,12280,16206,0.018064608
Aug2014,KCCU,13975,11821,16725,0.032415027
Aug2014,KENW,13848,11905,19551,0.000722126
Aug2014,WJSU,13787,12015,15316,0.007398274
Aug2014,KAJX,13575,9704,25138,0.121841621
Aug2014,88.1 WVPE,13360,7586,26180,0.372230539
Aug2014,Tri States Public Radio,13144,9512,29108,0.054701765
Aug2014,Utah Public Radio,12973,10269,23717,0.083018577
Aug2014,KRCU,11572,9613,20294,0.04268925
Aug2014,WCSU,11127,9469,14137,0.027051317
Aug2014,KUNR Reno Public Radio,10994,6728,23742,0.293432782
Aug2014,KUSP,9386,5337,15088,0
Aug2014,High Plains Public Radio,9303,6416,17326,0.193915941
Aug2014,WUCF-FM,8642,6660,12801,0
Aug2014,WNTI,8273,5160,20658,0.272936057
Aug2014,NIPR Northeast Indiana Public Radio,7970,4609,17355,0.282434128
Aug2014,WFIT,7558,4822,16251,0.289362265
Aug2014,Digital Services,7116,5027,16365,0.011382799
Aug2014,Mississippi Public Broadcasting,7112,5550,13571,0
Aug2014,KBBI,6926,4888,11522,0
Aug2014,KSFR,6291,3928,14851,0.258305516
Aug2014,WSIU Public Braodcasting,6290,5147,10664,0.013036566
Aug2014,KUAC,5573,4542,11396,0.020635205
Aug2014,KRCB,5187,3986,12044,0.049932524
Aug2014,WMNF Tampa,4520,2486,6175,0
Aug2014,KCND,4237,3604,6327,0.004956337
Aug2014,KWIT,4074,3258,7132,0.14359352
Aug2014,WNIN,1344,1091,2154,0.009672619
Aug2014,PRNDI - NON STATION,1148,974,2357,0
Aug2014,WAPS,849,799,959,0
Aug2014,WYEP,835,756,1188,0
Aug2014,WTMD,751,641,1234,0
Aug2014,North Country Public Radio,750,687,964,0
Aug2014,KAMU,729,579,1569,0.152263374
Aug2014,WGVU,339,280,690,0
Aug2014,WDET,245,216,568,0
Aug2014,WOUB,156,73,658,0
Aug2014,WIAA,62,1,1864,0.790322581
Aug2014,WICN,40,36,92,0
Aug2014,KDFC,27,23,37,0
Aug2014,89.9 WWNO,16,3,7,0.8125
Aug2014,KMFA,12,11,19,0
Aug2014,WXYZ,12,9,30,0
Aug2014,90.3 Birmingham,9,2,20,0
Jul2014,WBUR,2649506,1878494,4154801,0
Jul2014,minnesota public radio,2477318,1372347,4129679,0
Jul2014,KQED,2189598,1504638,3460064,0
Jul2014,Southern California Public Radio,1197154,848833,1744820,0
Jul2014,WHYY,776727,504084,1103905,0
Jul2014,WAMU 88.5,525608,261082,928142,3.81E-06
Jul2014,KPBS,517459,379003,843098,0
Jul2014,Oregon Public Broadcasting,463594,300172,899330,0
Jul2014,Public Media for North Texas,424591,283892,749819,0.002468258
Jul2014,KEXP,352239,185144,766046,3.69E-05
Jul2014,WXPN,327539,223769,979782,4.88E-05
Jul2014,KUOW,306415,217559,549649,0.106297015
Jul2014,Michigan Radio,266361,175627,467025,0.154711088
Jul2014,WFUV,256477,106314,553107,0
Jul2014,Colorado Public Radio,248313,127197,452654,0.000124842
Jul2014,Capital Public Radio,247263,165682,451788,0
Jul2014,Georgia Public Broadcasting,246176,197076,461618,0.00022748
