monthyr,name,session,users,pageviews,streaming event
Aug2014,WBUR,2389548,1629569,3815704,0
Aug2014,KQED,2363436,1648973,3765710,8.46E-07
Aug2014,minnesota public radio,2250512,1203541,3861284,0
Aug2014,Southern California Public Radio,1456917,1112451,2018376,0
Aug2014,WHYY,786786,522665,1102234,0
Aug2014,St. Louis Public Radio,604679,478616,995799,0.03056167
Aug2014,KPBS,590855,446088,934554,3.38E-06
Aug2014,Public Media for North Texas,497806,335263,893060,0.002227775
Aug2014,WAMU 88.5,484980,227659,882182,0
Aug2014,Oregon Public Broadcasting,462357,296866,914312,0
Aug2014,KEXP,415903,227411,812442,3.61E-05
Aug2014,Chicago Public Media,384738,237051,1642896,7.80E-06
Aug2014,KUOW,291775,204765,523873,0.116733785
Aug2014,WXPN,279119,207459,764886,0.000146891
Aug2014,Colorado Public Radio,260699,130991,478141,0.000134254
Aug2014,KUT,253917,187304,429119,0.127502294
Aug2014,WFUV,243126,101419,501918,0
Aug2014,Indiana Public Media / WFIU,242175,212820,324425,2.89E-05
Aug2014,Michigan Radio,237565,155445,412854,0.184534759
Aug2014,Capital Public Radio,214662,133007,413250,0
Aug2014,Louisville Public Media,206851,130900,350353,0.106240724
Aug2014,Vermont Public Radio,205830,107247,419409,0.059417966
Aug2014,NHPR,193050,138954,357727,0.089375809
Aug2014,ideastream,180868,110979,274675,0
Aug2014,WGBH,178621,143381,289725,0.033864999
Aug2014,Georgia Public Broadcasting,178007,133785,389520,0.00042695
Aug2014,KPLU,156593,108397,276439,0.094589158
Aug2014,North Carolina Public Radio - WUNC,154052,102266,267572,0.208455586
Aug2014,Houston Public Media,153151,89700,265178,0.211921568
Aug2014,KCUR,151848,105322,279191,0.097281492
Aug2014,WAMC Northeast Public Radio,140100,94238,260708,0.17420414
Aug2014,WLRN,137514,102214,250821,0.130852131
Aug2014,Nashville Public Radio,130027,93196,198366,0
Aug2014,WABE,127725,82721,246171,0.153094539
Aug2014,KUSC,116565,45459,187804,0
Aug2014,Maine Public Broadcasting Network (MPBN),112727,65410,226924,0.009713733
Aug2014,WBGO,109378,44601,280031,9.14E-06
Aug2014,WKSU,102564,64592,179011,0
Aug2014,WFAE,101668,70987,176783,0.159912657
Aug2014,Boise State Public Radio,96516,77048,169307,0.06759501
Aug2014,KWSU,94480,72814,160512,0.124724809
Aug2014,West Virginia Public Broadcasting,94020,71718,153182,0.018038715
Aug2014,Jefferson Public Radio,88183,55903,168265,0.120816938
Aug2014,KUNC,87957,60683,165713,0.164262083
Aug2014,KSTX,85189,56075,143671,0.177288148
Aug2014,WNPR,84252,60021,166489,0.132827707
Aug2014,KWGS,83323,52722,116840,0.085390588
Aug2014,NET Radio,81016,62869,139123,0.001024489
Aug2014,KUAZ-AM/FM,79363,50883,179202,0.083867797
Aug2014,WESA,78324,56217,128942,0.128913232
Aug2014,Capital Community Broadcasting,75559,43639,137923,0
Aug2014,Iowa Public Radio,74084,41603,133845,0.230360132
Aug2014,Wyoming Public Media,73276,51444,124933,0.122359299
Aug2014,Rhode Island Public Radio,72314,44515,133698,0.060859585
Aug2014,KALW,71202,51940,131364,0.119027555
Aug2014,witf,71168,49425,137095,0
Aug2014,WUFT-FM,68219,46110,123908,0
Aug2014,KUER,65603,34476,121990,0.18860418
Aug2014,WRTI,63623,28548,154036,0.448627069
Aug2014,WUWM 89.7 FM - Milwaukee Public Radio,63375,41453,127820,0.15217357
Aug2014,89.9 WWNO,59813,36432,118267,0.215538428
Aug2014,Cincinnati Public Radio,59765,41307,98447,0.107554589
Aug2014,WYPR -Your Public Radio,59528,36232,108167,0.175362854
Aug2014,WFYI,58616,33012,131642,0.000460625
Aug2014,WRVO Public Media,55416,33624,93496,0.201169337
Aug2014,WUSF Public Media,55215,40736,102882,0.00532464
Aug2014,WNCW,52378,28403,98595,0.207243499
Aug2014,Illinois Public Media,50881,22160,94488,0
Aug2014,Nevada Public Radio,48298,30117,94790,0.010911425
Aug2014,MTPR,46822,28897,84077,0.215582419
Aug2014,WVTF & RADIO IQ,45895,29674,83037,0.155332825
Aug2014,KRWG,45806,35666,65544,0.028227743
Aug2014,WPSU,44789,35067,108845,0.04487709
Aug2014,WXXI Public Broadcasting,43608,32894,77444,0.073839662
Aug2014,KGOU,43285,33592,72653,0.092826614
Aug2014,WKAR,43233,29383,73190,0.053315754
Aug2014,WJCT,43134,36250,73814,0.049473733
Aug2014,New England Public Radio,42874,28142,69864,0
Aug2014,WHRV FM,41978,21622,55795,0
Aug2014,KBIA,40879,33670,62093,0.0591991
Aug2014,WNKU,40664,24768,66821,0.297142436
Aug2014,KUNM,40003,27693,73478,0.162737795
Aug2014,WGCU,39533,26416,69548,0.102471353
Aug2014,KMUW,39337,26637,69808,0.093652287
Aug2014,KCBX,38662,29009,59372,0.114453469
Aug2014,WMRA,38221,27210,50311,0.112555925
Aug2014,KLCC,37066,24882,63532,0.197620461
Aug2014,KNAU,36917,27795,53033,0.152531354
Aug2014,WUKY,36028,27123,53100,0.102586877
Aug2014,Interlochen Public Radio,35740,24339,72185,0.123726917
Aug2014,WQED Multimedia,35707,22490,102977,0
Aug2014,northern public radio,35562,24271,60508,0.220150723
Aug2014,WUIS,35047,26402,55693,0.067024282
Aug2014,WEMU 89.1,34555,26705,53667,0.109535523
Aug2014,WCBE,34443,26814,58470,0.108207764
Aug2014,KUVO,34303,21405,62206,0.295950791
Aug2014,WCLK,33761,21049,57276,0.343265899
Aug2014,WDAV Classical Public Radio,33071,16428,59430,0
Aug2014,Ozarks Public Radio,32234,24744,55119,0.087857542
