monthyr,name,session,users,pageviews,streaming event
Jun2014,WBUR,2360211,1663271,3646665,0
Jun2014,minnesota public radio,2231989,1206300,3798190,0
Jun2014,KQED,1977867,1352241,3214094,1.52E-06
Jun2014,Southern California Public Radio,1009789,724144,1492468,0
Jun2014,WHYY,812081,556402,1122770,1.23E-06
Jun2014,KPBS,579997,447875,919784,0
Jun2014,Oregon Public Broadcasting,546491,358288,1020420,5.49E-06
Jun2014,WAMU 88.5,465927,227487,832224,1.07E-05
Jun2014,Public Media for North Texas,440256,301633,801164,0.002073793
Jun2014,KEXP,325320,166231,714463,3.07E-05
Jun2014,Michigan Radio,321287,225095,528774,0.13137164
Jun2014,KUT,302603,215559,520198,0.110259978
Jun2014,KUOW,301769,210721,559121,0.109474466
Jun2014,WXPN,270553,200196,768910,5.17E-05
Jun2014,WFUV,252372,101124,544134,0
Jun2014,Colorado Public Radio,212677,107533,389118,6.11E-05
Jun2014,Georgia Public Broadcasting,208050,161647,417861,0.000302812
Jun2014,Vermont Public Radio,199116,108255,408096,0.053210189
Jun2014,North Carolina Public Radio - WUNC,177510,130481,301822,0.160914878
Jun2014,Louisville Public Media,173923,109275,304904,0.103729811
Jun2014,Capital Public Radio,164451,95494,348851,0
Jun2014,KPLU,162889,113355,297848,0.088219585
Jun2014,Houston Public Media,146290,88483,254457,0.193177934
Jun2014,ideastream,145950,85137,221452,0
Jun2014,NHPR,137998,94216,284249,0.122124958
Jun2014,St. Louis Public Radio,125414,80238,239822,0.076123878
Jun2014,KCUR,125307,85991,222570,0.10270775
Jun2014,KUER,119551,69829,233275,0.096377278
Jun2014,WGBH,116030,89436,214472,0.047754891
Jun2014,KUSC,113613,43129,189966,0
Jun2014,WLRN,109177,81568,208646,0.14986673
Jun2014,WBGO,108214,43342,283279,0
Jun2014,WAMC Northeast Public Radio,107519,66954,221150,0.191984672
Jun2014,WABE,103153,68644,190414,0.159122856
Jun2014,WNPR,99197,72529,192887,0.097331573
Jun2014,WKSU,98782,60623,168567,0
Jun2014,Maine Public Broadcasting Network (MPBN),93659,49778,198307,0.005274453
Jun2014,KUNC,78726,53500,152609,0.182900185
Jun2014,Capital Community Broadcasting,74225,46298,132014,0
Jun2014,Nashville Public Radio,73291,46131,130826,0
Jun2014,KSTX,72301,47398,127316,0.178877194
Jun2014,KUAZ-AM/FM,70392,42848,156463,0.082168428
Jun2014,witf,69069,48345,135459,0
Jun2014,WUSF Public Media,67438,47123,131269,0.004418874
Jun2014,WUWM 89.7 FM - Milwaukee Public Radio,67228,44275,140026,0.141890284
Jun2014,Iowa Public Radio,67222,36957,131236,0.23147184
Jun2014,WFAE,67186,44107,130018,0.213794541
Jun2014,West Virginia Public Broadcasting,64686,45920,122906,0.020437189
Jun2014,NET Radio,63974,50185,104171,0.000281364
Jun2014,WESA,63237,43842,112389,0.149058304
Jun2014,WFYI,61288,35349,128786,0.000505809
Jun2014,WYPR -Your Public Radio,60888,36838,119004,0.175518986
Jun2014,Nevada Public Radio,60619,42152,115633,0.009963873
Jun2014,WRTI,57088,26025,134085,0.437237248
Jun2014,Rhode Island Public Radio,54966,31767,107208,0.072517556
Jun2014,89.9 WWNO,54832,34840,112166,0.187919463
Jun2014,Boise State Public Radio,54492,40308,104032,0.105336563
Jun2014,KALW,52597,35434,108629,0.156624903
Jun2014,88.9 KETR,50669,40720,86616,0.009532456
Jun2014,Illinois Public Media,50594,23364,94580,0
Jun2014,KWSU,50010,32920,105905,0.209998
Jun2014,WRVO Public Media,46206,26631,87023,0.221919231
Jun2014,WXXI Public Broadcasting,44270,34128,81019,0.061983284
Jun2014,WJCT,43453,35624,78834,0.05332198
Jun2014,Jefferson Public Radio,41479,18244,93601,0.212493069
Jun2014,Cincinnati Public Radio,41475,26771,78469,0.13005425
Jun2014,South Dakota Public Broadcasting,41439,29124,226973,0.023238978
Jun2014,WHRV FM,39775,20092,53910,0
Jun2014,WNCW,37260,15934,86735,0.306199678
Jun2014,WKAR,36859,23225,70702,0.062155783
Jun2014,Wyoming Public Media,36492,22866,73069,0.209744602
Jun2014,WQED Multimedia,35313,22126,95007,0
Jun2014,WBHM 90.3 Birmingham,34571,33448,38395,0
Jun2014,WVTF & RADIO IQ,33707,21971,62574,0.121458451
Jun2014,WUFT-FM,33189,23155,50940,0
Jun2014,WDAV Classical Public Radio,30312,15045,56532,0
Jun2014,MTPR,30264,15138,64265,0.328178694
Jun2014,WPSU,29398,21615,62374,0.061432751
Jun2014,WFSU,29091,22960,49918,0.058334193
Jun2014,New England Public Radio,28244,16583,53080,0
Jun2014,WNKU,27839,14744,57646,0.404109343
Jun2014,South Carolina ETV Radio,27818,21514,30511,0.003163419
Jun2014,WGCU,27700,17488,55767,0.124259928
Jun2014,KWGS,25229,16584,50458,0.258353482
Jun2014,KGOU,24977,18167,50298,0.147015254
Jun2014,WKMS,24561,18291,50465,0.05850739
Jun2014,Interlochen Public Radio,24354,16450,44888,0.169746243
Jun2014,KLCC,23592,12544,49271,0.298321465
Jun2014,KUNM,23052,14133,50222,0.233038348
Jun2014,KBIA,22950,16927,45582,0.121655773
Jun2014,KNAU,22934,15943,40295,0.223728961
Jun2014,WMFE,22880,14692,36470,0
Jun2014,KUAR,22770,16318,43416,0.153359684
Jun2014,WSHU,22722,11934,45126,0.411363436
Jun2014,WFDD,22527,14377,47642,0.270963732
Jun2014,WYSO,22481,14987,46835,0.241715226
Jun2014,Utah Public Radio,22474,19066,37958,0.057043695
Jun2014,WBFO,22463,18735,40794,0.025686685
Jun2014,KMUW,22441,12917,47187,0.134575108
