monthyr,name,session,users,pageviews,streaming event
MAR2014,WBUR,2991818,2146505,4563546,0
MAR2014,minnesota public radio,2424611,1237552,4327257,0
MAR2014,KQED,1874698,1283949,3204121,0
MAR2014,Southern California Public Radio,1352037,994176,1961906,0
MAR2014,WHYY,800221,533949,1165399,0
MAR2014,Public Media for North Texas,673466,501154,1175568,0
MAR2014,KPBS,532579,393446,973419,0
MAR2014,Oregon Public Broadcasting,531615,345009,1124545,0
MAR2014,WAMU 88.5,491172,225025,951606,0
MAR2014,WFAE,469503,438600,687892,0
MAR2014,KUT,459882,343965,784652,0
MAR2014,Georgia Public Broadcasting,397563,282238,904802,0
MAR2014,KEXP,357698,184439,801384,0
MAR2014,Michigan Radio,321216,228375,530949,0
MAR2014,Vermont Public Radio,308730,147940,629228,0
MAR2014,KUOW,298268,199298,556325,0
MAR2014,South Dakota Public Broadcasting,289829,127191,1440735,0
MAR2014,WXPN,265788,195223,631402,0
MAR2014,WFUV,256750,100248,542772,0
MAR2014,Colorado Public Radio,221799,98292,291308,0
MAR2014,KPLU,196055,133989,352281,0
MAR2014,ideastream,185680,107143,307536,0
MAR2014,St. Louis Public Radio,178854,126826,309952,0
MAR2014,Louisville Public Media,175104,112510,310000,0
MAR2014,Capital Public Radio,162487,86509,333141,0
MAR2014,Houston Public Media,160697,96044,331206,0
MAR2014,North Carolina Public Radio - WUNC,153008,103138,278649,0
MAR2014,WKSU,145642,91049,263238,0
MAR2014,WLRN,139394,107544,255987,0
MAR2014,KCUR,137208,93943,232200,0
MAR2014,NHPR,137203,91681,284362,0
MAR2014,Maine Public Broadcasting Network (MPBN),130246,73051,258499,0
MAR2014,WGBH,129711,101393,228934,0
MAR2014,KUSC,128580,52331,215676,0
MAR2014,WAMC Northeast Public Radio,125665,78763,255263,0
MAR2014,NET Radio,122407,87753,237765,0
MAR2014,WBGO,118159,48645,307369,0
MAR2014,WABE,109246,70143,208638,0
MAR2014,witf,104186,77399,194075,0
MAR2014,WNPR,103610,75280,209176,0
MAR2014,WUWM 89.7 FM - Milwaukee Public Radio,85345,59007,169849,0
MAR2014,KSTX,82518,53838,145151,0
MAR2014,KUNC,82169,55290,154224,0
MAR2014,WESA,77160,53028,134480,0
MAR2014,KUAZ-AM/FM,75136,46239,166342,0
MAR2014,Rhode Island Public Radio,74297,44901,139401,0
MAR2014,WUSF Public Media,74090,58078,130418,0
MAR2014,Nashville Public Radio,70634,38595,142219,0
MAR2014,KWSU,69659,47157,144050,0
MAR2014,Iowa Public Radio,69236,36514,137458,0
MAR2014,89.9 WWNO,68848,47824,131867,0
MAR2014,KUER,68580,39030,126600,0
MAR2014,WRTI,65803,30289,162270,0
MAR2014,WYPR -Your Public Radio,65304,39916,134453,0
MAR2014,WXXI Public Broadcasting,64237,44204,98224,0
MAR2014,Boise State Public Radio,61628,46538,116432,0
MAR2014,KALW,61442,42319,126477,0
MAR2014,West Virginia Public Broadcasting,60613,41333,121229,0
MAR2014,Capital Community Broadcasting,60012,37654,106763,0
MAR2014,Illinois Public Media,57419,24612,114693,0
MAR2014,WKAR,55228,38166,101556,0
MAR2014,WHRV FM,53675,24729,112552,0
MAR2014,Nevada Public Radio,52131,32061,101387,0
MAR2014,WFYI,52119,28326,123950,0
MAR2014,WRVO Public Media,50859,28134,95373,0
MAR2014,Cincinnati Public Radio,47509,30413,87147,0
MAR2014,WQED Multimedia,47015,30405,142055,0
MAR2014,WYSO,46949,36917,83644,0
MAR2014,Jefferson Public Radio,46027,20224,107103,0
MAR2014,WUFT-FM,44848,33624,71636,0
MAR2014,New England Public Radio,44633,29484,81462,0
MAR2014,WNCW,44264,20123,104766,0
MAR2014,MTPR,41872,24012,85509,0
MAR2014,Wyoming Public Media,40071,24691,85395,0
MAR2014,WJCT,39231,32167,68029,0
MAR2014,Ozarks Public Radio,36390,29675,51819,0
MAR2014,WGCU,36371,23011,71667,0
MAR2014,WDAV Classical Public Radio,35222,18184,66141,0
MAR2014,WPSU,33704,23308,61960,0
MAR2014,WVTF & RADIO IQ,33530,19878,69150,0
MAR2014,WBHM 90.3 Birmingham,32866,31600,38201,0
MAR2014,WFDD,32240,22019,63231,0
MAR2014,South Carolina ETV Radio,31896,24301,34997,0
MAR2014,KMUW,30230,19425,60059,0
MAR2014,KUNM,30178,19111,65026,0
MAR2014,KDLG,29959,21450,57700,0
MAR2014,northern public radio,29813,18892,56429,0
MAR2014,WBFO,29344,24657,51345,0
MAR2014,KLCC,28799,15660,58852,0
MAR2014,KGOU,28105,21266,55950,0
MAR2014,WKMS,27794,19394,60491,0
MAR2014,WNKU,27259,14047,62372,0
MAR2014,KWGS,27018,18145,53630,0
MAR2014,WEMU 89.1,26993,19577,52763,0
MAR2014,WSHU,26549,13996,53685,0
MAR2014,KBIA,26513,19943,53706,0
MAR2014,WMFE,25591,16442,39026,0
MAR2014,WFSU,24564,18416,45374,0
MAR2014,WSKG Public Media,23506,14198,51625,0
